,Rank,Name,Lyric,Link
1,1,肖申克的救赎,希望让人自由。,https://movie.douban.com/subject/1292052/
2,2,霸王别姬,风华绝代。,https://movie.douban.com/subject/1291546/
3,3,阿甘正传,一部美国近现代史。,https://movie.douban.com/subject/1292720/
4,4,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
5,5,美丽人生,最美的谎言。,https://movie.douban.com/subject/1292063/
6,6,泰坦尼克号,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
7,7,千与千寻,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
8,8,辛德勒的名单,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
9,9,盗梦空间,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
10,10,忠犬八公的故事,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
11,11,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
12,12,机器人总动员,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
13,13,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
14,14,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
15,15,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
16,16,星际穿越,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
17,17,大话西游之大圣娶亲,一生所爱。,https://movie.douban.com/subject/1292213/
18,18,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
19,19,龙猫,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
20,20,无间道,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
21,21,教父,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
22,22,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
23,23,当幸福来敲门,平民励志片。 ,https://movie.douban.com/subject/1849031/
24,24,怦然心动,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
25,25,触不可及,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
